M00157	 W15 
M00083	 W15 
M00432	 W15 
M00019	 W15 
M00007	 W15 
M00028	 W15 
M00307	 W15 
M00144	 W15 
M00018	 W15 
M00004	 W15 
M00359	 W15 
M00026	 W15 
M00023	 W15 
M00222	 W15 
M00017	 W15 
M00016	 W15 
M00052	 W15 
M00022	 W15 
M00012	 W15 
M00125	 W15 
M00115	 W15 
M00121	 W15 
M00254	 W15 
M00237	 W15 
M00051	 W15 
M00015	 W15 
M00065	 W15 
M00096	 W15 
M00005	 W15 
M00394	 W15 
M00530	 W15 
M00020	 W15 
M00149	 W15 
M00168	 W15 
M00434	 W15 
M00742	 W15 
M00006	 W15 
M00053	 W15 
M00565	 W15 
M00549	 W15 
M00119	 W15 
M00140	 W15 
M00093	 W15 
M00362	 W15 
M00117	 W15 
M00167	 W15 
M00176	 W15 
M00123	 W15 
M00120	 W15 
M00179	 W15 
M00258	 W15 
M00255	 W15 
M00086	 W15 
M00221	 W15 
M00240	 W15 
M00331	 W15 
M00572	 W15 
