M00087	 W5 
M00034	 W5 
M00188	 W5 
M00036	 W5 
M00165	 W5 
M00527	 W5 
M00364	 W5 
M00063	 W5 
M00127	 W5 
M00616	 W5 
M00242	 W5 
M00632	 W5 
M00320	 W5 
M00169	 W5 
M00247	 W5 
M00035	 W5 
M00198	 W5 
M00151	 W5 
M00155	 W5 
M00611	 W5 
M00122	 W5 
M00741	 W5 
M00525	 W5 
M00336	 W5 
M00126	 W5 
M00236	 W5 
M00153	 W5 
M00133	 W5 
M00529	 W5 
M00552	 W5 
M00124	 W5 
M00355	 W5 
M00008	 W5 
M00024	 W5 
M00361	 W5 
M00173	 W5 
M00166	 W5 
M00060	 W5 
M00193	 W5 
M00349	 W5 
M00526	 W5 
M00535	 W5 
M00439	 W5 
M00300	 W5 
M00265	 W5 
M00345	 W5 
M00033	 W5 
M00118	 W5 
M00190	 W5 
M00299	 W5 
M00116	 W5 
M00353	 W5 
M00025	 W5 
M00454	 W5 
M00208	 W5 
M00210	 W5 
M00156	 W5 
M00027	 W5 
M00523	 W5 
M00259	 W5 
M00196	 W5 
M00497	 W5 
M00141	 W5 
M00223	 W5 
M00595	 W5 
M00029	 W5 
M00145	 W5 
M00436	 W5 
M00045	 W5 
M00471	 W5 
M00609	 W5 
M00620	 W5 
M00475	 W5 
M00032	 W5 
M00267	 W5 
M00270	 W5 
M00324	 W5 
M00498	 W5 
M00681	 W5 
M00614	 W5 
M00064	 W5 
M00669	 W5 
M00440	 W5 
M00519	 W5 
M00172	 W5 
M00577	 W5 
M00612	 W5 
M00729	 W5 
M00722	 W5 
M00506	 W5 
M00444	 W5 
M00232	 W5 
M00452	 W5 
M00334	 W5 
M00114	 W5 
M00135	 W5 
M00150	 W5 
M00095	 W5 
M00457	 W5 
M00170	 W5 
M00532	 W5 
M00354	 W5 
M00429	 W5 
M00502	 W5 
M00148	 W5 
M00266	 W5 
M00348	 W5 
M00344	 W5 
M00500	 W5 
M00709	 W5 
M00511	 W5 
M00617	 W5 
M00268	 W5 
M00171	 W5 
M00580	 W5 
M00721	 W5 
M00724	 W5 
M00501	 W5 
M00727	 W5 
M00728	 W5 
M00516	 W5 
M00695	 W5 
M00129	 W5 
M00177	 W5 
M00531	 W5 
M00615	 W5 
M00014	 W5 
M00423	 W5 
M00596	 W5 
M00030	 W5 
M00499	 W5 
M00303	 W5 
M00567	 W5 
M00365	 W5 
M00367	 W5 
M00143	 W5 
M00507	 W5 
M00272	 W5 
M00546	 W5 
M00374	 W5 
M00357	 W5 
M00040	 W5 
M00613	 W5 
M00573	 W5 
M00670	 W5 
M00046	 W5 
M00373	 W5 
M00509	 W5 
M00136	 W5 
M00478	 W5 
M00377	 W5 
M00346	 W5 
M00218	 W5 
M00128	 W5 
M00740	 W5 
M00142	 W5 
M00368	 W5 
M00158	 W5 
M00089	 W5 
M00688	 W5 
M00376	 W5 
M00689	 W5 
M00356	 W5 
M00308	 W5 
M00366	 W5 
M00618	 W5 
M00152	 W5 
M00427	 W5 
M00131	 W5 
M00745	 W5 
M00047	 W5 
M00079	 W5 
M00146	 W5 
M00042	 W5 
M00231	 W5 
M00037	 W5 
M00744	 W5 
M00080	 W5 
M00113	 W5 
M00097	 W5 
M00563	 W5 
M00513	 W5 
M00378	 W5 
M00375	 W5 
M00723	 W5 
M00088	 W5 
